qid	clase	tool	args	chars	ms	truncado
Q01	FieldFunctionManager	search_api	{"query":"FieldFunctionManager"}	3799	178	false
Q01	FieldFunctionManager	search_api(resolve)	{"query":"FieldFunctionManager","kind":"type","limit":500}	1130	4	false
Q01	FieldFunctionManager	get_doc	{"docPath":"star/common/FieldFunctionManager.html"}	15187	9	false
Q02	PartManager	search_api	{"query":"PartManager"}	3195	21	false
Q02	PartManager	search_api(resolve)	{"query":"PartManager","kind":"type","limit":500}	1365	4	false
Q02	PartManager	get_doc	{"docPath":"star/common/PartManager.html"}	50016	8	true
Q03	AnalysisReport	search_api	{"query":"AnalysisReport"}	1563	12	false
Q03	AnalysisReport	search_api(resolve)	{"query":"AnalysisReport","kind":"type","limit":500}	568	3	false
Q03	AnalysisReport	get_doc	{"docPath":"star/base/report/AnalysisReport.html"}	10065	5	false
Q04	AreaAverageReport	search_api	{"query":"AreaAverageReport"}	1032	13	false
Q04	AreaAverageReport	search_api(resolve)	{"query":"AreaAverageReport","kind":"type","limit":500}	228	3	false
Q04	AreaAverageReport	get_doc	{"docPath":"star/base/report/AreaAverageReport.html"}	7565	5	false
Q05	Boundary	search_api	{"query":"Boundary"}	2850	13	false
Q05	Boundary	search_api(resolve)	{"query":"Boundary","kind":"type","limit":500}	28375	4	false
Q05	Boundary	get_doc	{"docPath":"star/common/Boundary.html"}	12695	7	false
Q05	WallBoundary	search_api	{"query":"WallBoundary"}	741	12	false
Q05	WallBoundary	search_api(resolve)	{"query":"WallBoundary","kind":"type","limit":500}	280	2	false
Q05	WallBoundary	get_doc	{"docPath":"star/common/WallBoundary.html"}	3829	5	false
Q06	VectorReport	search_api	{"query":"VectorReport"}	913	14	false
Q06	VectorReport	search_api(resolve)	{"query":"VectorReport","kind":"type","limit":500}	322	3	false
Q06	VectorReport	get_doc	{"docPath":"star/base/report/VectorReport.html"}	9668	4	false
Q07	TableManager	search_api	{"query":"TableManager"}	3241	14	false
Q07	TableManager	search_api(resolve)	{"query":"TableManager","kind":"type","limit":500}	852	2	false
Q07	TableManager	get_doc	{"docPath":"star/common/TableManager.html"}	10038	5	false
Q08	Simulation	search_api	{"query":"Simulation"}	3336	14	false
Q08	Simulation	search_api(resolve)	{"query":"Simulation","kind":"type","limit":500}	33814	3	false
Q08	Simulation	get_doc	{"docPath":"star/common/Simulation.html"}	26898	5	false
Q09	Report	search_api	{"query":"Report"}	2434	14	false
Q09	Report	search_api(resolve)	{"query":"Report","kind":"type","limit":500}	56545	4	false
Q09	Report	get_doc	{"docPath":"star/base/report/Report.html"}	16953	4	false
Q10	GlobalParameterManager	search_api	{"query":"GlobalParameterManager"}	1990	15	false
Q10	GlobalParameterManager	search_api(resolve)	{"query":"GlobalParameterManager","kind":"type","limit":500}	233	3	false
Q10	GlobalParameterManager	get_doc	{"docPath":"star/common/GlobalParameterManager.html"}	9499	4	false
Q10	ClientServerObjectManager	search_api	{"query":"ClientServerObjectManager"}	5289	18	false
Q10	ClientServerObjectManager	search_api(resolve)	{"query":"ClientServerObjectManager","kind":"type","limit":500}	607	4	false
Q10	ClientServerObjectManager	get_doc	{"docPath":"star/base/neo/ClientServerObjectManager.html"}	13871	5	false
Q11	Continuum	search_api	{"query":"Continuum"}	2606	16	false
Q11	Continuum	search_api(resolve)	{"query":"Continuum","kind":"type","limit":500}	4126	3	false
Q11	Continuum	get_doc	{"docPath":"star/common/Continuum.html"}	14456	5	false
Q12	ThresholdPart	search_api	{"query":"ThresholdPart"}	1964	18	false
Q12	ThresholdPart	search_api(resolve)	{"query":"ThresholdPart","kind":"type","limit":500}	176	3	false
Q12	ThresholdPart	get_doc	{"docPath":"star/vis/ThresholdPart.html"}	10164	4	false
Q13	PlaneProbePart	search_api	{"query":"PlaneProbePart"}	1558	18	false
Q13	PlaneProbePart	search_api(resolve)	{"query":"PlaneProbePart","kind":"type","limit":500}	266	2	false
Q13	PlaneProbePart	get_doc	{"docPath":"star/vis/PlaneProbePart.html"}	10064	6	false
Q14	Continuum	search_api	{"query":"Continuum"}	2606	17	false
Q14	Continuum	search_api(resolve)	{"query":"Continuum","kind":"type","limit":500}	4126	3	false
Q14	Continuum	get_doc	{"docPath":"star/common/Continuum.html"}	14456	2	false
Q14	AutoMeshOperation	search_api	{"query":"AutoMeshOperation"}	3087	16	false
Q14	AutoMeshOperation	search_api(resolve)	{"query":"AutoMeshOperation","kind":"type","limit":500}	2724	3	false
Q14	AutoMeshOperation	get_doc	{"docPath":"star/meshing/AutoMeshOperation.html"}	13401	5	false
Q15	UserFieldFunction	search_api	{"query":"UserFieldFunction"}	2209	14	false
Q15	UserFieldFunction	search_api(resolve)	{"query":"UserFieldFunction","kind":"type","limit":500}	466	3	false
Q15	UserFieldFunction	get_doc	{"docPath":"star/common/UserFieldFunction.html"}	9889	4	false
