fqcn	textChars
com.siemens.splm.browserinterop.infrastructure.jxbrowser.browser.BrowserWrapper	8161
com.siemens.splm.browserinterop.infrastructure.jxbrowser.interop.HostControl	4518
com.siemens.splm.browserinterop.infrastructure.jxbrowser.util.DataUri	1063
star.abl.AtmosphericBoundaryLayerModel	7593
star.abl.AtmosphericBoundaryLayerProfileMethod	4182
star.abl.AtmosphericBoundaryLayerTurbulentDissipationRateProfileMethod	4481
star.abl.AtmosphericBoundaryLayerTurbulentKineticEnergyProfileMethod	4461
star.abl.AtmosphericBoundaryLayerVelocityMagnitudeProfileMethod	4410
star.acoustics.AcousticCorrelationLengthRV	4926
star.acoustics.AcousticDataSourceOption	5242
star.acoustics.AcousticDataSourceOption.Type	3581
star.acoustics.AcousticPressureD2pDt2Profile	4344
star.acoustics.AcousticPressureDpDtProfile	4303
star.acoustics.AcousticPressureProfile	4235
star.acoustics.AcousticsModel	4251
star.acoustics.AcousticsTopModel	4213
star.acoustics.BroadbandAcousticsModel	4338
star.acoustics.BroadbandBaseModel	4330
star.acoustics.BroadbandModel	6310
star.acoustics.BroadbandNoiseModel	4293
star.acoustics.CurleModel	6086
star.acoustics.FwhBaseModel	4243
star.acoustics.FwhCollectTrnPostProcessingModel	4536
star.acoustics.FwhFormulationOption	5091
star.acoustics.FwhFormulationOption.Type	3546
star.acoustics.FwhModel	4992
star.acoustics.FwhPostProcessingReceiver	6664
star.acoustics.FwhPostProcessingReceiverManager	10669
star.acoustics.FwhPostProcessingSolver	7606
star.acoustics.FwhPostProcessingSurface	5712
star.acoustics.FwhPostProcessingSurfaceEditor	3286
star.acoustics.FwhPostProcessingSurfaceManager	7767
star.acoustics.FwhSolver	5579
star.acoustics.FwhSteadyModel	4336
star.acoustics.FwhSteadySolver	5620
star.acoustics.FwhSurface	5912
star.acoustics.FwhSurfaceEditor	3090
star.acoustics.FwhSurfaceManager	7389
star.acoustics.FwhSurfacePartFilter	2038
star.acoustics.FwhUnsteadyBaseModel	4294
star.acoustics.GoldsteinModel	6126
star.acoustics.ImpermeableFwhPostProcessingSurface	4562
