fqcn	estrato	chars	tok_o200k	tok_anth
star.common.Simulation.SimulationAttachProvider	S1	745	121	123
star.speed.builder.SpeedCreateMagnetCoordinateSystems	S1	1436	263	272
star.tcsimconnect.Version_2412	S1	1298	258	276
star.cadmodeler.vis.SnapHandler.SnapResult	S1	1557	296	312
star.starcad2.ScUnitsManager.ScUnits	S1	1404	258	276
star.common.ViewNotifier.ViewNotifyReceiver	S1	1568	278	295
star.modelselector.ui.ComponentNames	S1	1093	197	211
star.starcad2.ValueWithUnit	S1	1092	203	214
star.speed.parser.GDFGoferModel	S1	1120	227	238
star.mdx.MdxSceneUtils	S1	1110	218	225
star.base.neo.FJTaskRunnerGroup.InvokableFJTask	S1	2069	416	451
star.coremodule.ui.outlineeditor.ProxiedNodesChangeListener	S1	905	180	194
star.speed.builder.SpeedGetNPoles	S1	974	208	204
star.starcadbatch.common.filesystem.Utils	S1	984	174	182
star.base.report.SampleSetStartEventWatcher	S1	1026	189	198
star.quickobjects.ui.QuickEditPrismValuesPane.MyActionListener	S1	1288	231	256
star.vis.datafocus.ui.SelectDisplayerDropdownAction	S1	2159	390	432
star.speed.builder.SpeedUniteCageBodies	S1	1515	323	363
star.vis.SceneProvider	S1	718	127	129
star.cae.common.CaeDataImporter	S1	2054	381	425
star.cadmodeler.CadObjectNeoProperty	S1	1949	412	436
star.coremodule.ui.plotsetup.TabPanel.TabPanelSerializer	S1	2256	371	402
star.screenplay.ScreenplaySelectorDescriptor.Builder	S1	2000	326	351
star.flow.MomentReport.MomentReportPrinter	S1	2172	409	428
star.common.Selectable.SelectedNotifier	S1	1343	229	246
star.meshing.GenericRelativeSize	S1	1242	215	222
star.common.actions.CellSetBooleanAction	S1	542	94	97
star.cadmodeler.vis.BodyGroupBeanSelectHandler	S1	1067	212	224
star.cosimulation.link.common.IndexedOption	S1	536	88	96
star.mdx.MdxDataTypeValidator	S1	697	139	135
star.speed.builder.SpeedCreateExcitationCoil3DSketchesForSkew	S1	2118	549	559
star.cosimulation.link.oneway.CgnsExternalFile.CgnsFileFilter	S1	1271	257	272
star.common.graph.PlotStyleInfoTablesDisplay.MasterKeysTableModelListener	S1	1163	212	225
star.cosimulation.libraries.fmi.FmiImporter	S1	1594	290	320
star.common.SimulationsChangedNotifier	S1	1803	300	310
star.vis.scenegraph.SsgProcessor.CompletableRunnable	S1	1376	236	260
star.base.neo.SerializableEnum	S1	2115	402	420
star.common.PartsProvider	S1	1569	270	283
star.base.query.QueryEditorContext.Builder	S1	2133	365	396
star.speed.builder.SpeedSetEccentricity	S1	1682	402	415
star.fea.common.solvers.EigenSolverFrequencySelectionProvider	S1	738	115	123
star.coremodule.ui.StarPropertySheet.SheetNodesListener	S1	2067	393	453
star.cadmodeler.ui.ContactCommands	S1	2064	424	440
star.speed.builder.SpeedRemovePointContactsV2	S1	1114	213	222
star.vis.ui.VisTransformNode.NewTransformType	S1	1814	345	394
star.energy.TumbleAndSwirlReport.TumbleAndSwirlReportPrinter	S1	1809	363	385
star.common.ShowDependenciesMenuCustomizer	S1	2279	406	454
star.starcad2.VectorWithUnit	S1	1123	209	220
star.sixdof.DistanceReportBase.DistanceReportBasePrinter	S1	1661	302	318
star.common.CompositePart.CompositePartAssemblyInfo	S1	1691	281	304
star.common.NotifyObject	S1	1246	213	222
star.base.neo.FJTask.Par	S1	2065	454	472
star.cadmodeler.ExportGlobalParametersUtility	S1	1463	242	247
star.circuit.ui.CircuitGUIEditorWebView.OnCommit	S1	1012	186	197
star.speed.parser.GDFGoferArmatureSlot	S1	1972	465	480
star.base.report.DerivedMonitorData	S1	1682	301	324
star.base.neo.NeoJournalObjectArg	S1	1375	249	275
star.base.neo.NeoJournableArgument	S1	1005	180	190
star.speed.parser.GDFWinding	S1	1342	318	329
star.vis.StringIndexedColorManager	S1	1113	189	197
star.common.graph.LegacyPlotWarningPrinter	S1	1067	188	196
star.speed.builder.SpeedScanRotorFieldWindings	S1	1246	242	261
star.vis.AxesObject	S1	2113	421	436
star.base.neo.ForwardSshTunnel	S1	2179	432	431
star.coremodule.ui.ObjectManagerCheckBoxPanel.EnableDisableListener	S1	1586	284	285
star.common.filters.OrPredicate	S1	1820	323	353
star.speed.builder.SpeedGetSimulationDomain	S1	1014	177	187
star.common.GridDataProvider	S1	524	89	95
star.common.AssignedToBoundary	S1	1695	296	313
star.coremodule.ui.RemoteFileView	S1	1707	326	355
star.speed.builder.SpeedSymmetrySketches	S1	1182	235	245
star.common.RegionChangedNotifier.NotifierReceiver	S1	2336	401	412
star.plaf.LafUtils	S1	1110	203	213
star.coremodule.objectselector.ViewModel	S1	1170	196	217
star.lagrangian.dem.DemMomentReport.DemMomentReportPrinter	S1	2220	430	446
star.fea.metrics.FeIntegralReportTestingUtils.TensorPolynomialComponentFunction	S1	2012	359	374
star.coremodule.logging.StarErrorManager.OutOfMemoryExceptionFilter	S1	1288	231	245
star.common.OrderableOversetRegionListPropertyEditor.RegionListCellRenderer	S1	1711	317	315
star.meshing.ui.PickPointCoordinateEditorPanel.buttonIcon	S1	1520	296	309
star.cadmodeler.ui.CadQuantityInputValidator	S1	571	100	99
star.common.ContactInterface	S2	3884	783	833
star.electrochemicalspecies.ElectrochemicalSpeciesSolverOption.Type	S2	3697	670	707
star.common.ImplicitExplicitIntegration	S2	3433	609	648
star.cosimulation.link.common.DataTransferTimeRangeOption.Type	S2	4016	732	818
star.combustion.ppdftable.ui.PpdfBlockingTableOperation	S2	3108	585	619
star.solidstress.FeSolidStressPlotableMonitorEditor	S2	3281	612	667
star.vis.ColorPalettePropertyEditor.CustomColorPaletteEditorWrapper	S2	2949	533	561
star.cadmodeler.Extrusion.ExtrusionOption	S2	4029	793	854
star.common.XYPlotTransferHandler	S2	2600	467	492
star.cadmodeler.ui.ModelReImportLayoutViewHandler.MouseClick	S2	2783	523	553
star.coremodule.utils.FastIndexingList	S2	2826	602	627
star.common.actions.CellSetAddAction	S2	4024	771	906
star.coremodule.actions.SceneDependentAction	S2	3917	716	843
star.quickobjects.ui.QuickSelectionWidgetPanel.WidgetPanelSelectionOrder	S2	2860	511	541
star.battery.cellproperty.electrolyte.SolventVolumeFraction	S2	4039	835	883
star.cosimulation.fmi.Fmi2CoSimulationAgent	S2	4057	859	910
star.coremodule.objectselector.ModelDescriptor.SelectionType	S2	3825	672	714
star.common.AxisTitlePlacement.AxisTitlePlacementKeys	S2	2609	469	497
star.topologyoptimization.ConstraintTypeEditor	S2	3160	571	617
star.quickobjects.vis.QuickSceneDrawableItemHighlightHandler	S2	2569	432	489
star.sweptmesher.DMGrowthRateOption.Type	S2	3475	648	694
star.cadmodeler.Sweep.Alignment	S2	3604	648	704
star.meshing.PartsSurfaceProximityOption.Type	S2	3677	672	711
star.meshing.CustomizeTetPolyDensityOption.Type	S2	3567	649	698
star.sweptmesher.DMCurvatureOption.Type	S2	3558	685	733
star.meshing.ui.CustomMeshControlSelectPartCurvesPanel.PartCurveSelectHandler	S2	2583	488	507
star.cadmodeler.AssemblyAnchor3DConstraint	S2	3589	723	746
star.coremodule.actions.LayoutVertical_2_2_Action	S2	3643	705	840
star.combustion.SootNucleationOption.Type	S2	3536	715	753
star.common.Axis.RangeMode	S2	3702	683	722
star.meshing.geometryrepair.ui.GeometryRepairWidgetSelectButtons	S2	2676	490	571
star.common.actions.MapTransientDataAction.ApplyOperation	S2	2774	499	528
star.base.report.PeriodicReportType	S2	3791	781	829
star.cae.actions.ImportCaeOperation	S2	3831	710	761
star.common.GmresSettings	S2	2870	585	600
star.cadmodeler.DeleteBodyFeature.DeleteBodyFeatureType	S2	3646	658	693
star.base.query.Query.Modifier	S2	2440	455	474
star.common.ui.DecoratedIcon	S2	2665	543	586
star.mdx.ui.dialogs.plotsetup.dscfg.MdxStudyXyDataSeriesConfig	S2	3163	655	702
star.common.XYPlotStyleDefaultsBase	S2	2966	580	609
star.common.expression.ExpressionParser.TernaryContext	S2	2896	582	676
star.vis.SceneBase.SceneType	S2	2728	532	589
star.common.LicenseRank.LicenseRankValue	S2	3719	713	828
star.common.MonitorEditor	S2	3042	554	601
star.common.graph.ReportMonitorPartGroupSubset	S2	4112	838	888
star.common.PointType	S2	3773	771	820
star.vis.PartColorSettings.ColorMode	S2	3879	729	781
star.vis.SelectionLoopInteractor	S2	3558	660	730
star.battery.HeatFlowTypeOption	S2	3342	642	665
star.common.ui.GeometryPartNode.PartTypes	S2	3404	621	664
star.starcadbatch.common.CadVersions	S2	2871	585	649
star.sixdof.vis.GlyphLengthAbsolute	S2	2924	590	634
star.mdx.ui.MdxBisectCriterionManagerNode.MdxCreateBisectCriterionAction	S2	4099	799	951
star.coremodule.actions.WorkflowOperationBase	S2	3820	678	716
star.meshing.ui.SurfaceMeshWidgetSetsButtons.SubsetRecallSelectAction	S2	3086	582	640
star.extruder.SurfaceExtruderOperation.GridTypeOption	S2	3626	667	717
star.common.StarImage	S2	3406	644	693
star.fea.properties.GeometricPropertyEditor	S2	3722	682	735
star.cadmodeler.ui.SketchChamferDialog	S2	2520	484	527
star.vof.VofWaveOrder.Type	S2	3655	727	768
star.battery.cellproperty.properties.BCP_Fraction	S2	4042	834	883
star.meshing.PartsMinimumSurfaceSizeOption.Type	S2	3567	649	683
star.lagrangian.SourceSmoothingMethodEditor	S2	3774	697	748
star.electromagnetism.common.ExcitationCoilVoltageSourceOption.Type	S2	3689	698	739
star.vis.PlotSelectionEditor	S2	3095	568	615
star.material.MaterialDataBasePathEditor	S2	3158	580	628
star.solidstress.NeoHookeanModelOption	S2	3488	672	761
star.cosimulation.common.CoSimStencilOption.Type	S2	3696	696	762
star.common.expression.ExpressionParser.FilterContext	S2	2905	615	732
star.lagrangian.dem.LagrangianPassiveScalarMaterialEditor1	S2	3977	741	791
star.passivescalar.WallPassiveScalarFluxDerivativeOption.Type	S2	3704	664	721
star.turbulence.TurbulentVelocityScaleOption.Type	S2	3643	685	728
star.base.neo.groupby.GroupByCategoryOption	S2	2808	538	560
star.solidstress.NormalModesSolverAlgorithm	S2	3344	618	640
star.solidstress.OgdenModelOption	S2	3611	723	744
star.common.BatchStartupAndFinish.BatchErrorManager	S2	2515	472	535
star.solidstress.Wedge6ElementSetting.ANSType	S2	3457	675	697
star.cosimulation.common.ui.CreateCoupledPhaseAction	S2	3870	737	872
star.coremodule.ui.CheckBoxList.BoxState	S2	2503	478	512
star.common.PeriodicityOption.Type	S2	3591	660	699
star.common.MonitorIterationStoppingCriterionMaxLimitType	S3	4827	947	1010
star.rsturb.EbRsTurbC2eOption	S3	5166	1126	1209
star.amr.actions.AmrRefineAllAction	S3	4562	887	1028
star.lagrangian.dem.CoarseGrainParticleModel	S3	5363	1094	1160
star.cadmodeler.ui.TransformCommonNodeAction	S3	4571	865	1015
star.common.PorousPhaseManager	S3	5334	1099	1154
star.battery.cellproperty.models.electrolyte.transportnum.GeneralElectrolyteTransportNumPolynomial	S3	5530	1264	1315
star.cadmodeler.ui.CheckSketchValidityAction	S3	6131	1165	1321
star.electrochemicalspecies.ElectrochemicalSpeciesArrayProfile	S3	4663	923	972
star.reactions.ui.ThirdBodyCoefficientDataBaseMaterialNode	S3	5879	1195	1347
star.coremodule.actions.SelectAllAction	S3	4664	865	999
star.vis.ui.LayoutViewUpdateNode	S3	6116	1238	1384
star.starcad2.StarCadBodyGroup	S3	4686	980	1032
star.combustion.tfm.EfficiencyFactorMultiplierProfile	S3	4351	877	938
star.electroniccooling.RadialFanPhysicsValues	S3	4892	1009	1057
star.common.EulerianPhaseManager	S3	5294	1081	1135
