clase	origen	chars_post	tok_o200k	fac_o200k	tok_anth	fac_anth
FieldFunctionManager	banco	15187	2862	5.306	3057	4.968
PartManager	banco	56494	11631	4.857	12071	4.680
AnalysisReport	banco	10065	1946	5.172	2043	4.927
AreaAverageReport	banco	7565	1476	5.125	1560	4.849
Boundary	banco	12695	2512	5.054	2703	4.697
WallBoundary	banco	3829	785	4.878	833	4.597
VectorReport	banco	9668	1880	5.143	1978	4.888
TableManager	banco	10038	2063	4.866	2120	4.735
Simulation	banco	26898	5157	5.216	5249	5.124
Report	banco	16953	3226	5.255	3331	5.089
GlobalParameterManager	banco	9499	1874	5.069	2020	4.702
ClientServerObjectManager	banco	13871	2788	4.975	2945	4.710
Continuum	banco	14456	2861	5.053	2983	4.846
ThresholdPart	banco	10164	2039	4.985	2102	4.835
PlaneProbePart	banco	10064	2057	4.893	2122	4.743
AutoMeshOperation	banco	13401	2745	4.882	2863	4.681
UserFieldFunction	banco	9889	1934	5.113	2048	4.829
PartImportManager	extra	122083	25623	4.765	26310	4.640
Feature	extra	18060	3665	4.928	3873	4.663
