clase	origen	textChars	blanco_pct	tok_o200k	fac_o200k	tok_anth	fac_anth	chars_colap	tok_colap	fac_colap	trozos_blanco_pct
FieldFunctionManager	banco	16176	15.5	3185	5.079	3429	4.717	15187	2862	5.306	10.1
PartManager	banco	60780	15.6	12627	4.813	14058	4.324	56494	11631	4.857	7.9
AnalysisReport	banco	10817	17.1	2180	4.962	2310	4.683	10065	1946	5.172	10.7
AreaAverageReport	banco	7980	15.5	1611	4.953	1710	4.667	7565	1476	5.125	8.4
Boundary	banco	13832	17.5	2862	4.833	3113	4.443	12695	2512	5.054	12.2
WallBoundary	banco	4061	16.4	857	4.739	914	4.443	3829	785	4.878	8.4
VectorReport	banco	10398	16.8	2108	4.933	2235	4.652	9668	1880	5.143	10.8
TableManager	banco	10787	17.9	2292	4.706	2387	4.519	10038	2063	4.866	10.0
Simulation	banco	29981	18.5	6057	4.950	6296	4.762	26898	5157	5.216	15.1
Report	banco	18573	19.2	3741	4.965	3903	4.759	16953	3226	5.255	13.8
GlobalParameterManager	banco	10117	16.6	2068	4.892	2253	4.490	9499	1874	5.069	9.4
ClientServerObjectManager	banco	15360	21.0	3245	4.733	3457	4.443	13871	2788	4.975	14.1
Continuum	banco	15811	19.3	3278	4.823	3456	4.575	14456	2861	5.053	12.7
ThresholdPart	banco	11120	18.5	2332	4.768	2438	4.561	10164	2039	4.985	12.6
PlaneProbePart	banco	10959	17.9	2321	4.722	2439	4.493	10064	2057	4.893	11.5
AutoMeshOperation	banco	14612	17.3	3112	4.695	3284	4.449	13401	2745	4.882	11.8
UserFieldFunction	banco	10646	16.9	2164	4.920	2318	4.593	9889	1934	5.113	10.7
PartImportManager	extra	128573	13.4	26834	4.791	30372	4.233	122083	25623	4.765	4.8
Feature	extra	20251	20.3	4309	4.700	4630	4.374	18060	3665	4.928	14.9
