zona	chars	blanco	pct_blanco	trozos_o200k	factor_o200k	trozos_legacy	factor_legacy	pct_chars_pag	pct_trozos_pag
Z0-preambulo	92	11	12.0	23	4.000	22	4.182	0.6	0.8
Z1-navegacion	108	13	12.0	17	6.353	19	5.684	0.7	0.6
Z2-indice-lateral	1059	52	4.9	187	5.663	207	5.116	7.0	6.5
Z3-cabecera-tipo	690	60	8.7	137	5.036	158	4.367	4.5	4.8
Z4-prosa-clase	32	4	12.5	6	5.333	6	5.333	0.2	0.2
Z5-tablas-summary	7032	724	10.3	1359	5.174	1440	4.883	46.3	47.5
Z6-detail	6174	655	10.6	1139	5.421	1211	5.098	40.7	39.8
Z7-cierre	0	0	-	0	-	0	-	0.0	0.0
PAGINA-directa	15187			2862	5.306	3057	4.968	100.0	100.0
SUMA-zonas	15187			2868		3063			
MIGAS(suma-directa)				6 (0.2%)		6 (0.2%)			
